utd,critic_params,time,time_std,env_name,time_loglinear,time_sum_powerlaw
1,1050000,1141500.0,,,1032794.5682302298,1078835.3759513162
1,2830000,1068750.0,,,924017.05474396,939846.690128482
1,4920000,878241.7582417582,374006.24424898287,,868400.8701950221,901717.6713961663
1,26310000,719436.8131868131,302562.62506679224,,719425.3427037498,855249.3839334993
2,1050000,854285.7142857143,374467.98996737244,,878246.1090224318,842197.9656456879
2,2830000,824217.0329670329,257328.5136523623,,785746.1764054773,703209.2798228537
2,4920000,639065.934065934,202137.6523050832,,738452.4558716097,665080.261090538
2,26310000,607101.6483516484,179226.60135060028,,611769.7821013812,618611.9736278711
5,1050000,738956.0439560439,237522.9469526399,,708851.9242542685,701354.1893623124
5,2830000,619409.3406593406,186858.88157213348,,634193.1759201571,562365.5035394783
5,4920000,465013.7362637362,114374.49828254714,,596021.3645552413,524236.4848071626
5,26310000,449972.52747252746,82358.79771709655,,493772.96726754133,477768.1973444957
10,1050000,609793.956043956,201001.9047513777,,602778.5810455543,654811.2384208292
10,2830000,551579.6703296703,139464.97908744286,,539291.845884588,515822.55259799503
10,4920000,390302.19780219777,116689.53537633373,,506832.1042894875,477693.53386567923
10,26310000,438447.8021978022,103330.68582651336,,419884.2640954991,431225.24640301237
15,1050000,588557.6923076923,127778.92641726285,,548248.9276189442,639389.3753686558
15,2830000,520288.46153846156,98078.82189499968,,490505.4450790474,500400.6895458217
15,4920000,430302.1978021978,124311.83594676145,,460982.1357248338,462271.67081350595
15,26310000,526538.4615384615,178268.5861861102,,381899.92934906523,415803.38335083897
