env_name,utd,critic_width,critic_params,time_to_threshold,time_to_threshold_std,time_to_threshold_sum_powerlaw
h1-crawl-v0,1.0,128,604362,880000.0,102171.6203258028,807770.7908347399
h1-crawl-v0,1.0,256,2322634,500000.0,37083.14981227997,473359.7840429089
h1-crawl-v0,1.0,512,9101514,400000.0,16466.936569987753,386249.81300946436
h1-crawl-v0,1.0,1024,36028618,320000.0,10451.794104363136,364070.91416965524
h1-crawl-v0,2.0,128,604362,800000.0,50089.519861943176,760077.468824161
h1-crawl-v0,2.0,256,2322634,480000.0,28990.34321976889,425666.46203233
h1-crawl-v0,2.0,512,9101514,340000.0,15298.365925810507,338556.4909988855
h1-crawl-v0,2.0,1024,36028618,300000.0,17088.007490635064,316377.5921590763
h1-crawl-v0,4.0,128,604362,700000.0,40161.673271914355,733624.7146972473
h1-crawl-v0,4.0,256,2322634,400000.0,31670.806746908107,399213.7079054163
h1-crawl-v0,4.0,512,9101514,280000.0,17972.20075561143,312103.73687197175
h1-crawl-v0,4.0,1024,36028618,300000.0,26641.32128855474,289924.83803216263
h1-crawl-v0,8.0,128,604362,660000.0,56687.211961782,718952.8870408778
h1-crawl-v0,8.0,256,2322634,340000.0,17058.72210923198,384541.88024904684
h1-crawl-v0,8.0,512,9101514,300000.0,17945.472966740108,297431.90921560227
h1-crawl-v0,8.0,1024,36028618,320000.0,27008.14691903167,275253.01037579315
h1-stand-v0,1.0,128,604362,840000.0,105060.74433393283,757973.2162932276
h1-stand-v0,1.0,256,2322634,440000.0,64800.92591931075,467412.7505154188
h1-stand-v0,1.0,512,9101514,360000.0,24334.33787880821,361840.84114308335
h1-stand-v0,1.0,1024,36028618,320000.0,33030.28912982749,324195.3162922682
h1-stand-v0,2.0,128,604362,700000.0,72337.81860133744,714154.6098924408
h1-stand-v0,2.0,256,2322634,460000.0,59093.14681077663,423594.1441146322
h1-stand-v0,2.0,512,9101514,320000.0,40189.05323592483,318022.23474229674
h1-stand-v0,2.0,1024,36028618,280000.0,24628.43884617943,280376.70989148156
h1-stand-v0,4.0,128,604362,720000.0,46446.09779088013,682589.2793964626
h1-stand-v0,4.0,256,2322634,380000.0,15034.626699722212,392028.8136186539
h1-stand-v0,4.0,512,9101514,280000.0,12328.828005937952,286456.90424631845
h1-stand-v0,4.0,1024,36028618,240000.0,13380.582946942184,248811.3793955033
h1-stand-v0,8.0,128,604362,580000.0,36271.75209443294,659850.7632463359
h1-stand-v0,8.0,256,2322634,380000.0,14282.8568570857,369290.29746852716
h1-stand-v0,8.0,512,9101514,260000.0,15087.743370033837,263718.3880961917
h1-stand-v0,8.0,1024,36028618,240000.0,20865.28216919196,226072.86324537647
