env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
acrobot-swingup,0.8686682878189192,-11.965692431272673,sigma = 6.3587e-06 * N^0.8687,N = 9.6006e+05 * sigma^1.1512
cheetah-run,0.8695598850684927,-11.921612131351798,sigma = 6.6452e-06 * N^0.8696,N = 8.9981e+05 * sigma^1.1500
dog-run,0.8773049389108839,-11.938718027269328,sigma = 6.5325e-06 * N^0.8773,N = 8.1293e+05 * sigma^1.1399
finger-turn,0.8643787664086682,-11.228351684764123,sigma = 1.3292e-05 * N^0.8644,N = 4.3805e+05 * sigma^1.1569
fish-swim,0.8700145583885441,-12.11551821336012,sigma = 5.4739e-06 * N^0.8700,N = 1.1164e+06 * sigma^1.1494
hopper-hop,0.8842229332123016,-9.781612671912766,sigma = 5.6481e-05 * N^0.8842,N = 6.3728e+04 * sigma^1.1309
pendulum-swingup,0.8696539381718271,-11.33186327643464,sigma = 1.1985e-05 * N^0.8697,N = 4.5603e+05 * sigma^1.1499
quadruped-run,0.8748307636613221,-11.62899118077773,sigma = 8.9042e-06 * N^0.8748,N = 5.9294e+05 * sigma^1.1431
walker-run,0.8769507479024864,-10.38518425705356,sigma = 3.0887e-05 * N^0.8770,N = 1.3902e+05 * sigma^1.1403
